WARNING:tensorflow:From /lustre/work/cse496dl/pmorrow4/homework3/model.py:61: calling reduce_sum (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
2019-04-05 17:37:00.503465: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2
2019-04-05 17:37:01.091403: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-04-05 17:37:01.094551: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: Tesla K20m major: 3 minor: 5 memoryClockRate(GHz): 0.7055
pciBusID: 0000:03:00.0
totalMemory: 4.63GiB freeMemory: 4.56GiB
2019-04-05 17:37:01.094614: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2019-04-05 17:37:01.557573: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-04-05 17:37:01.557693: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2019-04-05 17:37:01.557733: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2019-04-05 17:37:01.557992: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 4327 MB memory) -> physical GPU (device: 0, name: Tesla K20m, pci bus id: 0000:03:00.0, compute capability: 3.5)
TEST 1: Ep: 155, Score: 80239682.8, Steps: 1467, n_steps: 5000, training_start: 1000
TEST 1: Ep: 156, Score: 80256486.39999999, Steps: 1470, n_steps: 5000, training_start: 1000
TEST 1: Ep: 157, Score: 80070301.6, Steps: 1473, n_steps: 5000, training_start: 1000
TEST 1: Ep: 158, Score: 80218304.0, Steps: 1476, n_steps: 5000, training_start: 1000
TEST 1: Ep: 159, Score: 80120089.2, Steps: 1479, n_steps: 5000, training_start: 1000
TEST 1: Ep: 160, Score: 80344008.0, Steps: 1482, n_steps: 5000, training_start: 1000
TEST 1: Ep: 161, Score: 80344836.39999999, Steps: 1485, n_steps: 5000, training_start: 1000
TEST 1: Ep: 162, Score: 80068986.8, Steps: 1488, n_steps: 5000, training_start: 1000
TEST 1: Ep: 163, Score: 79921554.39999999, Steps: 1491, n_steps: 5000, training_start: 1000
TEST 1: Ep: 164, Score: 80095290.39999999, Steps: 1494, n_steps: 5000, training_start: 1000
TEST 1: Ep: 165, Score: 80344540.0, Steps: 1497, n_steps: 5000, training_start: 1000
TEST 1: Ep: 166, Score: 80047030.39999999, Steps: 1500, n_steps: 5000, training_start: 1000
TEST 1: Ep: 167, Score: 80386796.0, Steps: 1503, n_steps: 5000, training_start: 1000
TEST 1: Ep: 168, Score: 80228427.2, Steps: 1506, n_steps: 5000, training_start: 1000
TEST 1: Ep: 169, Score: 80468800.0, Steps: 1509, n_steps: 5000, training_start: 1000
TEST 1: Ep: 170, Score: 80240762.0, Steps: 1512, n_steps: 5000, training_start: 1000
TEST 1: Ep: 171, Score: 80386796.0, Steps: 1515, n_steps: 5000, training_start: 1000
TEST 1: Ep: 172, Score: 80401585.6, Steps: 1518, n_steps: 5000, training_start: 1000
TEST 1: Ep: 173, Score: 80228427.2, Steps: 1521, n_steps: 5000, training_start: 1000
TEST 1: Ep: 174, Score: 80200132.39999999, Steps: 1524, n_steps: 5000, training_start: 1000
TEST 1: Ep: 175, Score: 80365554.0, Steps: 1527, n_steps: 5000, training_start: 1000
TEST 1: Ep: 176, Score: 82743419.2, Steps: 1530, n_steps: 5000, training_start: 1000
TEST 1: Ep: 177, Score: 81725140.8, Steps: 1533, n_steps: 5000, training_start: 1000
TEST 1: Ep: 178, Score: 81630574.0, Steps: 1536, n_steps: 5000, training_start: 1000
TEST 1: Ep: 179, Score: 81578118.8, Steps: 1539, n_steps: 5000, training_start: 1000
TEST 1: Ep: 180, Score: 81500302.39999999, Steps: 1542, n_steps: 5000, training_start: 1000
TEST 1: Ep: 181, Score: 81439593.6, Steps: 1545, n_steps: 5000, training_start: 1000
TEST 1: Ep: 182, Score: 81687011.6, Steps: 1548, n_steps: 5000, training_start: 1000
TEST 1: Ep: 183, Score: 81571909.6, Steps: 1551, n_steps: 5000, training_start: 1000
TEST 1: Ep: 184, Score: 81595849.6, Steps: 1554, n_steps: 5000, training_start: 1000
TEST 1: Ep: 185, Score: 81456002.0, Steps: 1557, n_steps: 5000, training_start: 1000
TEST 1: Ep: 186, Score: 81368381.6, Steps: 1560, n_steps: 5000, training_start: 1000
TEST 1: Ep: 187, Score: 81344244.0, Steps: 1563, n_steps: 5000, training_start: 1000
TEST 1: Ep: 188, Score: 81555159.2, Steps: 1566, n_steps: 5000, training_start: 1000
TEST 1: Ep: 189, Score: 81557629.2, Steps: 1569, n_steps: 5000, training_start: 1000
TEST 1: Ep: 190, Score: 81445210.0, Steps: 1572, n_steps: 5000, training_start: 1000
TEST 1: Ep: 191, Score: 81595849.6, Steps: 1575, n_steps: 5000, training_start: 1000
TEST 1: Ep: 192, Score: 81790918.8, Steps: 1578, n_steps: 5000, training_start: 1000
TEST 1: Ep: 193, Score: 81664333.2, Steps: 1581, n_steps: 5000, training_start: 1000
TEST 1: Ep: 194, Score: 81555159.2, Steps: 1584, n_steps: 5000, training_start: 1000
TEST 1: Ep: 195, Score: 81652994.0, Steps: 1587, n_steps: 5000, training_start: 1000
TEST 1: Ep: 196, Score: 81592802.0, Steps: 1590, n_steps: 5000, training_start: 1000
TEST 1: Ep: 197, Score: 81686601.2, Steps: 1593, n_steps: 5000, training_start: 1000
TEST 1: Ep: 198, Score: 81820444.8, Steps: 1596, n_steps: 5000, training_start: 1000
TEST 1: Ep: 199, Score: 81483506.39999999, Steps: 1599, n_steps: 5000, training_start: 1000
TEST 1: Ep: 200, Score: 81579084.0, Steps: 1602, n_steps: 5000, training_start: 1000
TEST 1: Ep: 201, Score: 79240564.0, Steps: 1605, n_steps: 5000, training_start: 1000
TEST 1: Ep: 202, Score: 79198688.0, Steps: 1608, n_steps: 5000, training_start: 1000
TEST 1: Ep: 203, Score: 79058148.8, Steps: 1611, n_steps: 5000, training_start: 1000
TEST 1: Ep: 204, Score: 79264914.39999999, Steps: 1614, n_steps: 5000, training_start: 1000
TEST 1: Ep: 205, Score: 79160277.6, Steps: 1617, n_steps: 5000, training_start: 1000
TEST 1: Ep: 206, Score: 79218972.39999999, Steps: 1620, n_steps: 5000, training_start: 1000
TEST 1: Ep: 207, Score: 79163773.6, Steps: 1623, n_steps: 5000, training_start: 1000
TEST 1: Ep: 208, Score: 79299745.2, Steps: 1626, n_steps: 5000, training_start: 1000
TEST 1: Ep: 209, Score: 79386681.6, Steps: 1629, n_steps: 5000, training_start: 1000
TEST 1: Ep: 210, Score: 79448332.8, Steps: 1632, n_steps: 5000, training_start: 1000
TEST 1: Ep: 211, Score: 79455955.6, Steps: 1635, n_steps: 5000, training_start: 1000
TEST 1: Ep: 212, Score: 79170932.8, Steps: 1638, n_steps: 5000, training_start: 1000
TEST 1: Ep: 213, Score: 79448332.8, Steps: 1641, n_steps: 5000, training_start: 1000
TEST 1: Ep: 214, Score: 79334728.0, Steps: 1644, n_steps: 5000, training_start: 1000
TEST 1: Ep: 215, Score: 79242464.0, Steps: 1647, n_steps: 5000, training_start: 1000
TEST 1: Ep: 216, Score: 79001772.0, Steps: 1650, n_steps: 5000, training_start: 1000
TEST 1: Ep: 217, Score: 79048170.0, Steps: 1653, n_steps: 5000, training_start: 1000
TEST 1: Ep: 218, Score: 79474408.39999999, Steps: 1656, n_steps: 5000, training_start: 1000
TEST 1: Ep: 219, Score: 79170932.8, Steps: 1659, n_steps: 5000, training_start: 1000
